Authors,Author full names,Author(s) ID,Title,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Themes,Devices,Systems,Year,Author Keywords,Index Keywords,Funding Details,Publisher,Document Type,Publication Stage,Open Access,Source,EID
Merrill B.J.; Wong C.P.C.; Cadwallader L.C.; Abdou M.; Morley N.B.,"Merrill, B.J. (7005943580); Wong, C.P.C. (56116275200); Cadwallader, L.C. (7004473740); Abdou, M. (7102552153); Morley, N.B. (7007175094)",7005943580; 56116275200; 7004473740; 7102552153; 7007175094,Normal operation and maintenance safety lessons from the ITER US PbLi test blanket module program for a US FNSF and DEMO,Fusion Engineering and Design,89,9-10,,1989,1994,5,19,10.1016/j.fusengdes.2014.04.076,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905968575&doi=10.1016%2fj.fusengdes.2014.04.076&partnerID=40&md5=e519e6e747a96797c9422d6cf2300545,"Fusion Safety Program, Idaho National Laboratory, Idaho Falls, ID, United States; General Atomics, San Diego, CA 92186-5608, United States; University of California Los Angeles, Los Angeles, CA 90095-1597, United States","Merrill B.J., Fusion Safety Program, Idaho National Laboratory, Idaho Falls, ID, United States; Wong C.P.C., General Atomics, San Diego, CA 92186-5608, United States; Cadwallader L.C., Fusion Safety Program, Idaho National Laboratory, Idaho Falls, ID, United States; Abdou M., University of California Los Angeles, Los Angeles, CA 90095-1597, United States; Morley N.B., University of California Los Angeles, Los Angeles, CA 90095-1597, United States","A leading power reactor breeding blanket candidate for a fusion demonstration power plant (DEMO) being pursued by the US Fusion Community is the Dual Coolant Lead Lithium (DCLL) concept. The safety hazards associated with the DCLL concept as a reactor blanket have been examined in several US design studies. These studies identify the largest radiological hazards as those associated with the dust generation by plasma erosion of plasma blanket module first walls, oxidation of blanket structures at high temperature in air or steam, inventories of tritium bred in or permeating through the ferritic steel structures of the blanket module and blanket support systems, and the 210Po and 203Hg produced in the PbLi breeder/coolant. What these studies lack is the scrutiny associated with a licensing review of the DCLL concept. An insight into this process was gained during the US participation in the ITER Test Blanket Module (TBM) Program. In this paper we discuss the lessons learned during this activity and make safety proposals for the design of a Fusion Nuclear Science Facility (FNSF) or a DEMO that employs a lead lithium breeding blanket. © 2014 Elsevier B.V.",OVER,DEMO ITER,BLANKET,2014,Blanket; DCLL; DEMO; Fusion; PbLi; Safety,Accident prevention; Breeding blankets; Fusion reactions; Hazards; Blanket; Blanket structures; DCLL; DEMO; Dual-coolant lead-lithium; PbLi; Radiological hazard; Test blanket module; Structural design,"Office of Fusion Energy Science; U.S. Department of Energy, USDOE, (DE-AC07-05ID14517)",Elsevier Ltd,Article,Final,,Scopus,2-s2.0-84905968575
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lin L.; Song Y.; Yang Y.; Feng H.; Cheng Y.; Pan H.,"Lin, Linglong (57217436998); Song, Yuntao (7404920047); Yang, Yang (54409727600); Feng, Hansheng (35188759100); Cheng, Yong (55255908800); Pan, Hongtao (56422984400)",57217436998; 7404920047; 54409727600; 35188759100; 55255908800; 56422984400,Computer vision system R&D for EAST Articulated Maintenance Arm robot,Fusion Engineering and Design,100,,,254,259,5,11,10.1016/j.fusengdes.2015.06.017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942553614&doi=10.1016%2fj.fusengdes.2015.06.017&partnerID=40&md5=edcbf4e5616f78ec90b00d5f91686c5e,"Tokamak Design Division, Institute of Plasma Physics, Chinese Academy of Sciences, Hefei, Anhui, China","Lin L., Tokamak Design Division, Institute of Plasma Physics, Chinese Academy of Sciences, Hefei, Anhui, China; Song Y., Tokamak Design Division, Institute of Plasma Physics, Chinese Academy of Sciences, Hefei, Anhui, China; Yang Y., Tokamak Design Division, Institute of Plasma Physics, Chinese Academy of Sciences, Hefei, Anhui, China; Feng H., Tokamak Design Division, Institute of Plasma Physics, Chinese Academy of Sciences, Hefei, Anhui, China; Cheng Y., Tokamak Design Division, Institute of Plasma Physics, Chinese Academy of Sciences, Hefei, Anhui, China; Pan H., Tokamak Design Division, Institute of Plasma Physics, Chinese Academy of Sciences, Hefei, Anhui, China","Experimental Advanced Superconducting Tokamak (EAST) is the first full superconducting tokamak device which was constructed at Institute of Plasma Physics Chinese Academy of Sciences (ASIPP). The EAST Articulated Maintenance Arm (EAMA) robot provides the means of the in-vessel maintenance such as inspection and picking up the fragments of first wall. This paper presents a method to identify and locate the fragments semi-automatically by using the computer vision. The use of computer vision in identification and location faces some difficult challenges such as shadows, poor contrast, low illumination level, less texture and so on. The method developed in this paper enables credible identification of objects with shadows through invariant image and edge detection. The proposed algorithms are validated through our ASIPP robotics and computer vision platform (ARVP). The results show that the method can provide a 3D pose with reference to robot base so that objects with different shapes and size can be picked up successfully. © 2015 Elsevier B.V. All rights reserved.",SOFT,EAST,BLANKET,2015,Computer vision; EAMA; Fragment identification; Maintenance; Pick up,Edge detection; Magnetoplasma; Maintenance; Pickups; Robots; Textures; Tokamak devices; Chinese Academy of Sciences; Computer vision system; Different shapes; EAMA; Experimental advanced superconducting tokamaks (EAST); Invariant images; Low illuminations; Superconducting tokamak; Computer vision,"Tokamak Design Division; Institute of Plasma Physics, Chinese Academy of Sciences, IPP; National Magnetic Confinement Fusion Program of China, (2011GB114000)",Elsevier Ltd,Article,Final,,Scopus,2-s2.0-84942553614
Muhammad A.; Esque S.; Aha L.; Mattila J.; Siuko M.; Vilenius M.; Järvenpää J.; Irving M.; Damiani C.; Semeraro L.,"Muhammad, Ali (24475189300); Esque, Salvador (55890470100); Aha, Liisa (25930795400); Mattila, Jouni (7004402283); Siuko, Mikko (6602625203); Vilenius, Matti (7003440256); Järvenpää, Jorma (25928349400); Irving, Mike (7103080298); Damiani, Carlo (25928319800); Semeraro, Luigi (25928795300)",24475189300; 55890470100; 25930795400; 7004402283; 6602625203; 7003440256; 25928349400; 7103080298; 25928319800; 25928795300,Combined application of Product Lifecycle and Software Configuration Management systems for ITER remote handling,Fusion Engineering and Design,84,7-11,,1367,1371,4,12,10.1016/j.fusengdes.2008.11.056,https://www.scopus.com/inward/record.uri?eid=2-s2.0-67349234536&doi=10.1016%2fj.fusengdes.2008.11.056&partnerID=40&md5=7fdf51da8ab9eaa056fa1ee401d3f2da,"Tampere University of Technology, 33720 Tampere, Korkeakoulunkatu 6, Finland; VTT Systems Engineering, 33720 Tampere, Tekniikankatu 1, Finland; Fusion for Energy, 08019 Barcelona, Josep Pla 2, Torres Diagonal Litoral B3, Spain","Muhammad A., Tampere University of Technology, 33720 Tampere, Korkeakoulunkatu 6, Finland; Esque S., Tampere University of Technology, 33720 Tampere, Korkeakoulunkatu 6, Finland; Aha L., Tampere University of Technology, 33720 Tampere, Korkeakoulunkatu 6, Finland; Mattila J., Tampere University of Technology, 33720 Tampere, Korkeakoulunkatu 6, Finland; Siuko M., Tampere University of Technology, 33720 Tampere, Korkeakoulunkatu 6, Finland; Vilenius M., Tampere University of Technology, 33720 Tampere, Korkeakoulunkatu 6, Finland; Järvenpää J., VTT Systems Engineering, 33720 Tampere, Tekniikankatu 1, Finland; Irving M., Fusion for Energy, 08019 Barcelona, Josep Pla 2, Torres Diagonal Litoral B3, Spain; Damiani C., Fusion for Energy, 08019 Barcelona, Josep Pla 2, Torres Diagonal Litoral B3, Spain; Semeraro L., Fusion for Energy, 08019 Barcelona, Josep Pla 2, Torres Diagonal Litoral B3, Spain","The advantages of Product Lifecycle Management (PLM) systems are widely understood among the industry and hence a PLM system is already in use by International Thermonuclear Experimental Reactor (ITER) Organization (IO). However, with the increasing involvement of software in the development, the role of Software Configuration Management (SCM) systems have become equally important. The SCM systems can be useful to meet the higher demands on Safety Engineering (SE), Quality Assurance (QA), Validation and Verification (V&V) and Requirements Management (RM) of the developed software tools. In an experimental environment, such as ITER, the new remote handling requirements emerge frequently. This means the development of new tools or the modification of existing tools and the development of new remote handling procedures or the modification of existing remote handling procedures. PLM and SCM systems together can be of great advantage in the development and maintenance of such remote handling system. In this paper, we discuss how PLM and SCM systems can be integrated together and play their role during the development and maintenance of ITER remote handling system. We discuss the possibility to investigate such setup at DTP2 (Divertor Test Platform 2), which is the full scale mock-up facility to verify the ITER divertor remote handling and maintenance concepts. © 2008 Elsevier B.V. All rights reserved.",STRAT,ITER,(general/none),2009,Product Lifecycle Management (PLM); Quality Assurance; Remote handling systems; Safety Engineering; Software Configuration Management (SCM); Validation and Verification,Computer software maintenance; Computer software selection and evaluation; Experimental reactors; Flow patterns; Fusion reactors; Management; Materials handling equipment; Quality assurance; Quality control; Remote control; Safety engineering; Total quality management; Verification; Divertor; Experimental environment; Full scale; International thermonuclear experimental reactor; ITER divertor; New tools; PLM systems; Product Lifecycle Management (PLM); Product lifecycle management systems; Product-life-cycle; Remote handling; Remote handling system; Remote handling systems; Requirements management; Role of software; SCM systems; Software Configuration Management (SCM); Software configuration management systems; Software tool; Test platforms; Validation and Verification; Materials handling,,,Article,Final,,Scopus,2-s2.0-67349234536
Dubus G.; David O.; Measson Y.,"Dubus, Gregory (24778074000); David, Olivier (56681456000); Measson, Yvan (24483534500)",24778074000; 56681456000; 24483534500,Vibration control of a flexible arm for the ITER maintenance using unknown visual features from inside the vessel,"2009 IEEE/RSJ International Conference on Intelligent Robots and Systems, IROS 2009",,,5354081,5697,5704,7,18,10.1109/IROS.2009.5354081,https://www.scopus.com/inward/record.uri?eid=2-s2.0-76249113645&doi=10.1109%2fIROS.2009.5354081&partnerID=40&md5=1b52e4327bad781573cf721ba252db4d,"CEA, LIST, Interactive Robotics Unit, Fontenay-aux-Roses Cedex, F-92265, BP6, France","Dubus G., CEA, LIST, Interactive Robotics Unit, Fontenay-aux-Roses Cedex, F-92265, BP6, France; David O., CEA, LIST, Interactive Robotics Unit, Fontenay-aux-Roses Cedex, F-92265, BP6, France; Measson Y., CEA, LIST, Interactive Robotics Unit, Fontenay-aux-Roses Cedex, F-92265, BP6, France","In this paper we present a vibration control scheme for a long-reach inspection arm in an environment as constrained as a fusion reactor. The ultra-high vacuum, the high operating temperature, the significant residual magnetic field and the nuclear activation in ITER will prevent from considering common on-the-shelf dynamics sensors. Therefore we propose to use the already developed rad-hardened viewing tool to feed an oscillation observer with visual information. In our approach the visual data are extracted from a totally unknown environment. Particular attention is paid to obtain a robust algorithm. Experimental results validate the proposed strategy. © 2009 IEEE.",SOFT,ITER,(general/none),2009,,Experimental reactors; Fusion reactors; Magnetic fields; Vibration control; Visual communication; Flexible arm; High operating temperature; Nuclear activation; Residual magnetic fields; Robust algorithm; Shelf dynamics; Unknown environments; Visual data; Visual feature; Visual information; Intelligent robots,,,Conference paper,Final,,Scopus,2-s2.0-76249113645
Ribeiro I.; Damiani C.; Tesini A.; Kakudate S.; Siuko M.; Neri C.,"Ribeiro, Isabel (7201715059); Damiani, Carlo (25928319800); Tesini, Alessandro (56019625000); Kakudate, Satoshi (56047592600); Siuko, Mikko (6602625203); Neri, Carlo (55640411500)",7201715059; 25928319800; 56019625000; 56047592600; 6602625203; 55640411500,The remote handling systems for ITER,Fusion Engineering and Design,86,6-8,,471,477,6,62,10.1016/j.fusengdes.2011.01.138,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054085837&doi=10.1016%2fj.fusengdes.2011.01.138&partnerID=40&md5=61c892c2a0f4e51fcea236b67abd4682,"Institute for Systems and Robotics/Instituto Superior Técnico, Lisboa, Portugal; Fusion for Energy, Barcelona, Spain; ITER Organization, Cadarache, France; ITER Tokamak Device Group, Japan Atomic Energy Agency, Ibaraki, Japan; VTT Systems Engineering, Tampere, Finland; Associazione EURATOM ENEA, Frascati, Italy","Ribeiro I., Institute for Systems and Robotics/Instituto Superior Técnico, Lisboa, Portugal; Damiani C., Fusion for Energy, Barcelona, Spain; Tesini A., ITER Organization, Cadarache, France; Kakudate S., ITER Tokamak Device Group, Japan Atomic Energy Agency, Ibaraki, Japan; Siuko M., VTT Systems Engineering, Tampere, Finland; Neri C., Associazione EURATOM ENEA, Frascati, Italy","The ITER remote handling (RH) maintenance system is a key component in ITER operation both for scheduled maintenance and for unexpected situations. It is a complex collection and integration of numerous systems, each one at its turn being the integration of diverse technologies into a coherent, space constrained, nuclearised design. This paper presents an integrated view and recent results related to the Blanket RH System, the Divertor RH System, the Transfer Cask System (TCS), the In-Vessel Viewing System, the Neutral Beam Cell RH System, the Hot Cell RH and the Multi-Purpose Deployment System. © 2011 Elsevier B.V. All rights reserved.",HARD,ITER,BLANKET DIVERTOR TRANSPORT IN-VESSEL NBI,2011,F4E; ITER; JADA; Remote handling,Integration; Maintenance; Remote control; F4E; Hot Cell; In-vessel viewing systems; ITER; JADA; Key component; Maintenance systems; Multi-purpose; Neutral beams; Numerous systems; Remote handling; Remote handling system; Scheduled maintenance; Materials handling,,,Conference paper,Final,,Scopus,2-s2.0-80054085837
Wu H.; Wang Y.; Li M.; Al-Saedi M.; Handroos H.,"Wu, Huapeng (56049976500); Wang, Yongbo (36961463800); Li, Ming (56237772900); Al-Saedi, Mazin (56049767200); Handroos, Heikki (6603541225)",56049976500; 36961463800; 56237772900; 56049767200; 6603541225,Chatter suppression methods of a robot machine for ITER vacuum vessel assembly and maintenance,Fusion Engineering and Design,89,9-10,,2357,2362,5,19,10.1016/j.fusengdes.2014.02.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905988980&doi=10.1016%2fj.fusengdes.2014.02.007&partnerID=40&md5=28acce1d7d7ca4c068ce15536fd71a6e,"Laboratory of Intelligent Machines, Lappeenranta University of Technology, Fin-53851 Lappeenranta, Finland","Wu H., Laboratory of Intelligent Machines, Lappeenranta University of Technology, Fin-53851 Lappeenranta, Finland; Wang Y., Laboratory of Intelligent Machines, Lappeenranta University of Technology, Fin-53851 Lappeenranta, Finland; Li M., Laboratory of Intelligent Machines, Lappeenranta University of Technology, Fin-53851 Lappeenranta, Finland; Al-Saedi M., Laboratory of Intelligent Machines, Lappeenranta University of Technology, Fin-53851 Lappeenranta, Finland; Handroos H., Laboratory of Intelligent Machines, Lappeenranta University of Technology, Fin-53851 Lappeenranta, Finland","In the process of assembly and maintenance of ITER vacuum vessel (ITER VV), various machining tasks including threading, milling, welding-defects cutting and flexible hose boring are required to be performed from inside of ITER VV by on-site machining tools. Robot machine is a promising option for these tasks, but great chatter (machine vibration) would happen in the machining process. The chatter vibration will deteriorate the robot accuracy and surface quality, and even cause some damages on the end-effector tools and the robot structure itself. This paper introduces two vibration control methods, one is passive and another is active vibration control. For the passive vibration control, a parallel mechanism is presented to increase the stiffness of robot machine; for the active vibration control, a hybrid control method combining feedforward controller and nonlinear feedback controller is introduced for chatter suppression. A dynamic model and its chatter vibration phenomena of a hybrid robot is demonstrated. Simulation results are given based on the proposed hybrid robot machine which is developed for the ITER VV assembly and maintenance. © 2014 Elsevier B.V.",HARD,ITER,IN-VESSEL,2014,ITER; Parallel robot; Vacuum vessel; Vibration control,Industrial robots; Machining; Maintenance; Mechanisms; Speed control; Active vibration controls; Feed-forward controllers; ITER; ITER vacuum vessels; Nonlinear feedback controllers; Parallel robots; Passive vibration control; Vacuum vessel; Vibration control,,Elsevier Ltd,Article,Final,,Scopus,2-s2.0-84905988980
Palmer J.; Agostini P.; Gottfried R.; Irving M.; Martin E.; Siuko M.; Tesini A.; Van Uffelen M.,"Palmer, J. (7403311621); Agostini, P. (7005332556); Gottfried, R. (6603819783); Irving, M. (7103080298); Martin, E. (55723165300); Siuko, M. (6602625203); Tesini, A. (56019625000); Van Uffelen, M. (6603441968)",7403311621; 7005332556; 6603819783; 7103080298; 55723165300; 6602625203; 56019625000; 6603441968,Remote maintenance of the ITER divertor,Conference on Robotics and Remote Systems- Proceedings,10,,,29,34,5,14,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-3042837957&partnerID=40&md5=8711a09a8ad7499a59135701cd4d84bb,"EFDA-CSU Garching, 85748, Garching, Boltzmannstrasse 2, Germany; ENEA CR Brasimone, 40032, Camugnano, Bologna, Italy; Framatome ANP GmbH, 91050, Erlangen, PO Box 3220, Germany; ITER International Team, 85748, Garching, Boltzmannstrasse 2, Germany; Tampere University of Technology, 33101, Tampere, PO Box 589, Finland; ITER International Team, Naka-machi, Ibaraki-ken, 311-0193, 801-1 Mukouyama, Japan; SCK.CEN Belg. NuclearResearch Centre, 2400 Mol, Boeretang 200, Belgium","Palmer J., EFDA-CSU Garching, 85748, Garching, Boltzmannstrasse 2, Germany; Agostini P., ENEA CR Brasimone, 40032, Camugnano, Bologna, Italy; Gottfried R., Framatome ANP GmbH, 91050, Erlangen, PO Box 3220, Germany; Irving M., ENEA CR Brasimone, 40032, Camugnano, Bologna, Italy; Martin E., ITER International Team, 85748, Garching, Boltzmannstrasse 2, Germany; Siuko M., Tampere University of Technology, 33101, Tampere, PO Box 589, Finland; Tesini A., ITER International Team, Naka-machi, Ibaraki-ken, 311-0193, 801-1 Mukouyama, Japan; Van Uffelen M., SCK.CEN Belg. NuclearResearch Centre, 2400 Mol, Boeretang 200, Belgium","The ITER Tokamak represents the next step towards the development of fusion as a viable energy source. One of the key maintenance operations for this device is the remote replacement of its divertor system. The components making up this system are expected to be activated to a level of several hundred Grays/hour and contaminated with hazardous and/or activated dust (Beryllium, Carbon, Tungsten) and Tritium. This paper describes the ITER divertor maintenance approach, together with the European efforts towards the design and development of the associated remote handling equipment and procedures for implementing the ITER divertor exchange.",STRAT,ITER,(general/none),2004,,Electric power generation; Fusion reactions; Magnetic fields; Maintenance; Neutrons; Plasmas; Pressurization; Tokamak devices; Operational lifetime; Plasma facing components (PFC); Remote systems; Toroidal magnetic fields; Fusion reactor divertors,,,Conference paper,Final,,Scopus,2-s2.0-3042837957
Tesini A.; Palmer J.,"Tesini, A. (56019625000); Palmer, J. (7403311621)",56019625000; 7403311621,The ITER remote maintenance system,Fusion Engineering and Design,83,7-9,,810,816,6,63,10.1016/j.fusengdes.2008.08.011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-56949106072&doi=10.1016%2fj.fusengdes.2008.08.011&partnerID=40&md5=6f531f773133ea811609b53de5436417,"ITER International Organization, 13108 St. Paul Lez Durance, Cadarache, France","Tesini A., ITER International Organization, 13108 St. Paul Lez Durance, Cadarache, France; Palmer J., ITER International Organization, 13108 St. Paul Lez Durance, Cadarache, France","The aim of this paper is to summarize the ITER approach to machine components maintenance. A major objective of the ITER project is to demonstrate that a future power producing fusion device can be maintained effectively and offer practical levels of plant availability. During its operational lifetime, many systems of the ITER machine will require maintenance and modification; this can be achieved using remote handling methods. The need for timely, safe and effective remote operations on a machine as complex as ITER and within one of the world's most hostile remote handling environments represents a major challenge at every level of the ITER Project organization, engineering and technology. The basic principles of fusion reactor maintenance are presented. An updated description of the ITER remote maintenance system is provided. This includes the maintenance equipment used inside the vacuum vessel, inside the hot cell and the hot cell itself. The correlation between the functions of the remote handling equipment, of the hot cell and of the radwaste processing system is also described. The paper concludes that ITER has equipped itself with a good platform to tackle the challenges presented by its own maintenance and upgrade needs. © 2008 Elsevier B.V. All rights reserved.",HARD,ITER,(general/none),2008,Hot cell; ITER maintenance system; ITER remote handling management plan; Remote handling,Disks (machine components); Fusion reactors; Machine components; Maintainability; Maintenance; Materials handling; Modernization; Radioactive wastes; Remote control; Safe handling; Shafts (machine components); Basic principles; Fusion devices; Hot cell; Hot cells; ITER maintenance system; Iter projects; ITER remote handling management plan; Operational lifetimes; Plant availabilities; Processing systems; Remote handling; Remote handling equipments; Remote handlings; Remote maintenances; Remote operations; Vacuum vessels; Experimental reactors,,,Article,Final,,Scopus,2-s2.0-56949106072
